time/fps,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,time/episodes,rollout/ep_rew_mean,train/actor_loss,time/time_elapsed,train/critic_loss,train/n_updates,train/ent_coef,eval/ep_b3_mean,eval/ep_pump_price_obj_std,eval/ep_b2_mean,eval/ep_b2_std,eval/ep_b1_std,eval/ep_pressure_obj_mean,eval/ep_b1_mean,eval/ep_pump_price_obj_mean,eval/ep_b3_std,eval/ep_pressure_obj_std
502,48.0,11520,0.003,236,21.56057805,-2.8613131046295166,22,0.007149822078645229,1427,0.009999999776482582,0.823366844254454,0.17347289538255148,0.7158302498704724,0.16592999733126118,0.1907026939314055,0.9890350877192983,0.7950111514106776,0.6052532438396782,0.13719194356926778,0.06863034003420604
502,48.0,11520,,240,21.56057805,,22,,,,,,,,,,,,,
505,48.0,11904,0.003,244,21.57059907,-2.9877724647521973,23,0.006690308917313814,1475,0.009999999776482582,,,,,,,,,,
505,48.0,11904,,248,21.57059907,,23,,,,,,,,,,,,,
502,48.0,12288,0.003,252,21.623771169999994,-3.0564980506896973,24,0.01154589094221592,1523,0.009999999776482582,0.8148653863297084,0.1713346616401695,0.7934152944345054,0.12033190767877422,0.15031633473451053,0.9956140350877193,0.8211971426151924,0.6186945520501235,0.12410726895924666,0.030386856273138196
501,48.0,12288,,256,21.623771169999994,,24,,,,,,,,,,,,,
504,48.0,12672,0.003,260,21.61639096,-3.0973007678985596,25,0.008228961378335953,1571,0.009999999776482582,,,,,,,,,,
504,48.0,12672,,264,21.61639096,,25,,,,,,,,,,,,,
501,48.0,13056,0.003,268,21.612412119999995,-3.1824445724487305,26,0.005697683896869421,1619,0.009999999776482582,0.8010303442228464,0.19568339411592628,0.7725149318261213,0.1593338111394319,0.19745124460037156,1.0,0.7779700411480988,0.5973215523591974,0.16119962210678213,0.0
501,48.0,13056,,272,21.612412119999995,,26,,,,,,,,,,,,,
504,48.0,13440,0.003,276,21.614845569999996,-3.3167214393615723,26,0.010099908336997032,1667,0.009999999776482582,,,,,,,,,,
504,48.0,13440,,280,21.614845569999996,,26,,,,,,,,,,,,,
501,48.0,13824,0.003,284,21.604131119999998,-3.4113047122955322,27,0.009944576770067215,1715,0.009999999776482582,0.8273625328485713,0.18074283101091904,0.7852586919545318,0.16168727830753718,0.12833350409559316,0.9890350877192983,0.8276084408123353,0.5967170249267721,0.10942723952718827,0.0531423517166997
501,48.0,13824,,288,21.604131119999998,,27,,,,,,,,,,,,,
501,48.0,14208,0.003,292,21.603564160000005,-3.4233896732330322,28,0.008152858354151249,1763,0.009999999776482582,,,,,,,,,,
501,48.0,14208,,296,21.603564160000005,,28,,,,,,,,,,,,,
495,48.0,14592,0.003,300,21.583943450000003,-3.47396183013916,29,0.01492833998054266,1811,0.009999999776482582,0.7932192516223159,0.1988798902490786,0.7733429248833333,0.16537420370241512,0.16190001799984735,1.0,0.813280279747876,0.628239215974092,0.12295967558257616,0.0
495,48.0,14592,,304,21.583943450000003,,29,,,,,,,,,,,,,
497,48.0,14976,0.003,308,21.580916900000002,-3.69222354888916,30,0.010879430919885635,1859,0.009999999776482582,,,,,,,,,,
497,48.0,14976,,312,21.580916900000002,,30,,,,,,,,,,,,,
495,48.0,15360,0.003,316,21.58658709,-3.6468300819396973,31,0.013420339673757553,1907,0.009999999776482582,0.8000227763597713,0.18717317954523666,0.7620191085692979,0.19999845512944112,0.16681462389603935,0.9945175438596491,0.8024225261401844,0.6155812396540032,0.12516991372447042,0.03798357034142275
494,48.0,15360,,320,21.58658709,,31,,,,,,,,,,,,,
496,48.0,15744,0.003,324,21.59793533,-3.809814691543579,31,0.0064652892760932446,1955,0.009999999776482582,,,,,,,,,,
496,48.0,15744,,328,21.59793533,,31,,,,,,,,,,,,,
481,48.0,16128,0.003,332,21.59531973,-3.712068557739258,33,0.010815199464559555,2003,0.009999999776482582,0.7884372269273671,0.15557464880443211,0.7421287764689551,0.19860258184396845,0.12909934433870368,1.0,0.8505730995981748,0.6052240883316578,0.12493300603460908,0.0
481,48.0,16128,,336,21.59531973,,33,,,,,,,,,,,,,
483,48.0,16512,0.003,340,21.55867189,-3.933185577392578,34,0.006383680738508701,2051,0.009999999776482582,,,,,,,,,,
483,48.0,16512,,344,21.55867189,,34,,,,,,,,,,,,,
480,48.0,16896,0.003,348,21.516089140000005,-3.983889102935791,35,0.01065063662827015,2099,0.009999999776482582,0.7698749367941049,0.19818491481165024,0.7461732119311283,0.18444809498994252,0.16254653924622534,0.9945175438596491,0.8072336561481034,0.6087728666243293,0.17602645250021062,0.03798357034142275
480,48.0,16896,,352,21.516089140000005,,35,,,,,,,,,,,,,
482,48.0,17280,0.003,356,21.49288444,-4.114007949829102,35,0.0053888969123363495,2147,0.009999999776482582,,,,,,,,,,
482,48.0,17280,,360,21.49288444,,35,,,,,,,,,,,,,
479,48.0,17664,0.003,364,21.494908629999994,-4.043860912322998,36,0.008076876401901245,2195,0.009999999776482582,0.8100795159187503,0.17246369830641,0.7698817725681936,0.1749111515755995,0.11406257524356056,1.0,0.8269178200396426,0.6114886141754631,0.12708005065317599,0.0
479,48.0,17664,,368,21.494908629999994,,36,,,,,,,,,,,,,
482,48.0,18048,0.003,372,21.484636779999995,-4.205530166625977,37,0.012739614583551884,2243,0.009999999776482582,,,,,,,,,,
482,48.0,18048,,376,21.484636779999995,,37,,,,,,,,,,,,,
480,48.0,18432,0.003,380,21.483601590000003,-4.278042316436768,38,0.009091675281524658,2291,0.009999999776482582,0.7801299384315054,0.18992327182830604,0.760562326651609,0.154706249060646,0.12772855147088663,1.0,0.8504128202755311,0.6199000154890245,0.1424309719540289,0.0
480,48.0,18432,,384,21.483601590000003,,38,,,,,,,,,,,,,
482,48.0,18816,0.003,388,21.46988139,-4.358703136444092,39,0.0073966458439826965,2339,0.009999999776482582,,,,,,,,,,
482,48.0,18816,,392,21.46988139,,39,,,,,,,,,,,,,
480,48.0,19200,0.003,396,21.44355904,-4.358615875244141,39,0.009827988222241402,2387,0.009999999776482582,0.7959992426651732,0.18222502876119848,0.7240589338287207,0.18777343918655306,0.1024148150645832,1.0,0.8645985457017185,0.6192272255995371,0.11853429009020518,0.0
479,48.0,19200,,400,21.44355904,,40,,,,,,,,,,,,,
482,48.0,19584,0.003,404,21.432263539999997,-4.4493303298950195,40,0.01019691489636898,2435,0.009999999776482582,,,,,,,,,,
482,48.0,19584,,408,21.432263539999997,,40,,,,,,,,,,,,,
484,48.0,19968,0.003,412,21.431977040000003,-4.501832485198975,41,0.010160369798541069,2483,0.009999999776482582,,,,,,,,,,
484,48.0,19968,,416,21.431977040000003,,41,,,,,,,,,,,,,
482,48.0,20352,0.003,420,21.434301660000003,-4.545111179351807,42,0.007517172023653984,2531,0.009999999776482582,0.8023461824430145,0.18457381174976287,0.772337705929831,0.17276101368856647,0.10781064329681225,1.0,0.8364204875932135,0.6202357463636181,0.12551685108863622,0.0
482,48.0,20352,,424,21.434301660000003,,42,,,,,,,,,,,,,
484,48.0,20736,0.003,428,21.45353719,-4.721386909484863,42,0.010129636153578758,2579,0.009999999776482582,,,,,,,,,,
484,48.0,20736,,432,21.45353719,,42,,,,,,,,,,,,,
483,48.0,21120,0.003,436,21.45035429,-4.801524639129639,43,0.005791114643216133,2627,0.009999999776482582,0.8144724591307144,0.2082751515528963,0.7397366985364027,0.20165870032056862,0.11349821273679904,1.0,0.8385199322647665,0.6098951618611469,0.1286053751172409,0.0
483,48.0,21120,,440,21.45035429,,43,,,,,,,,,,,,,
484,48.0,21504,0.003,444,21.47278797,-4.877619743347168,44,0.008160227909684181,2675,0.009999999776482582,,,,,,,,,,
