train/ent_coef,train/critic_loss,time/time_elapsed,rollout/ep_len_mean,time/fps,train/n_updates,train/actor_loss,time/episodes,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,eval/ep_b3_mean,eval/ep_nodes_below_zero,eval/ep_b1_mean,eval/ep_b3_std,eval/ep_timesteps_below_zero,eval/ep_b1_std,eval/ep_b2_mean,eval/ep_nodes_above_threshold,eval/ep_b2_std,eval/ep_pressure_obj_mean,eval/ep_pump_price_obj_std,eval/ep_nodes_below_threshold,eval/ep_pump_price_obj_mean,eval/ep_pressure_obj_std
0.009999999776482582,0.011072615161538124,117,48.0,482,7091,-8.342913627624512,1180,56832,0.003,21.403690440000002,0.7666365154804883,0.0,0.7939336247245347,0.13967161820779564,0,0.1376514555886027,0.8327626328676738,0.0,0.13813707012698156,0.9945175438596491,0.185625435948305,0.0,0.6371322792595204,0.03798357034142275
,,117,48.0,482,,,1184,56832,,21.403690440000002,,,,,,,,,,,,,,
0.009999999776482582,0.011138968169689178,118,48.0,483,7139,-8.301582336425781,1188,57216,0.003,21.389513019999995,,,,,,,,,,,,,,
,,118,48.0,483,,,1192,57216,,21.389513019999995,,,,,,,,,,,,,,
0.009999999776482582,0.010420835576951504,119,48.0,482,7187,-8.522480964660645,1196,57600,0.003,21.4132955,0.7620662289875761,0.0,0.7975510622429075,0.14840542204326804,0,0.1368093544185559,0.8290342413030516,0.0,0.14356607156748852,0.9945175438596491,0.19640979015056348,0.0,0.633008108596479,0.03798357034142275
,,119,48.0,481,,,1200,57600,,21.4132955,,,,,,,,,,,,,,
0.009999999776482582,0.011100701987743378,120,48.0,481,7235,-8.234025001525879,1204,57984,0.003,21.402380200000003,,,,,,,,,,,,,,
,,120,48.0,481,,,1208,57984,,21.402380200000003,,,,,,,,,,,,,,
0.009999999776482582,0.0073146577924489975,120,48.0,482,7283,-8.824969291687012,1212,58368,0.003,21.37084475,,,,,,,,,,,,,,
,,120,48.0,482,,,1216,58368,,21.37084475,,,,,,,,,,,,,,
