train/learning_rate,train/actor_loss,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/critic_loss,time/episodes,train/ent_coef,rollout/ep_len_mean,train/n_updates,time/time_elapsed,eval/ep_b3_mean,eval/ep_pump_price_obj_std,eval/ep_pressure_obj_mean,eval/ep_timesteps_below_zero,eval/ep_b1_mean,eval/ep_pressure_obj_std,eval/ep_nodes_below_zero,eval/ep_b3_std,eval/ep_pump_price_obj_mean,eval/ep_b1_std,eval/ep_nodes_below_threshold,eval/ep_nodes_above_threshold,eval/ep_b2_std,eval/ep_b2_mean
,,479,21.763139770000002,33408,,696,,48.0,,69,,,,,,,,,,,,,,
0.003,-7.020052433013916,478,21.76521337,33792,0.008841931819915771,700,0.009999999776482582,48.0,4211,70,0.8432415179713298,0.2886535538709996,1.0,0,0.8535125792898165,0.0,0.0,0.1288490214536086,0.6706512382275106,0.1308290913185942,0.0,0.0,0.075930054265074,0.6868246901389695
,,478,21.76521337,33792,,704,,48.0,,70,,,,,,,,,,,,,,
0.003,-6.775432109832764,479,21.761647780000004,34176,0.0021537677384912968,708,0.009999999776482582,48.0,4259,71,,,,,,,,,,,,,,
,,479,21.761647780000004,34176,,712,,48.0,,71,,,,,,,,,,,,,,
0.003,-6.72880744934082,478,21.763599150000005,34560,0.003283885307610035,716,0.009999999776482582,48.0,4307,72,0.8483911926302025,0.29198530460219474,1.0,0,0.816962508731541,0.0,0.0,0.13852427443668755,0.6787855300266395,0.17898053869905683,0.0,0.0,0.07197562136543321,0.6810052149747506
,,478,21.763599150000005,34560,,720,,48.0,,72,,,,,,,,,,,,,,
0.003,-6.873688697814941,479,21.766570290000004,34944,0.0035729091614484787,724,0.009999999776482582,48.0,4355,72,,,,,,,,,,,,,,
,,479,21.766570290000004,34944,,728,,48.0,,72,,,,,,,,,,,,,,
0.003,-6.82600736618042,478,21.756339490000002,35328,0.006257477216422558,732,0.009999999776482582,48.0,4403,73,0.8244746884174143,0.3101721068213981,1.0,0,0.835918020437757,0.0,0.0,0.19305006098699176,0.6259611752698141,0.1783624638984098,0.0,0.0,0.06984312165199678,0.693136042294616
,,478,21.756339490000002,35328,,736,,48.0,,73,,,,,,,,,,,,,,
0.003,-7.439182281494141,479,21.753555679999998,35712,0.003793582320213318,740,0.009999999776482582,48.0,4451,74,,,,,,,,,,,,,,
,,479,21.753555679999998,35712,,744,,48.0,,74,,,,,,,,,,,,,,
0.003,-7.173590183258057,478,21.756342499999995,36096,0.006272630766034126,748,0.009999999776482582,48.0,4499,75,0.8323791012125006,0.2851433686720784,1.0,0,0.8807831846593065,0.0,0.0,0.14926729725882965,0.6379724106693977,0.1077300486300959,0.0,0.0,0.06955717573434925,0.65220117550618
,,478,21.756342499999995,36096,,752,,48.0,,75,,,,,,,,,,,,,,
0.003,-7.180862903594971,479,21.761861239999998,36480,0.0027821685653179884,756,0.009999999776482582,48.0,4547,76,,,,,,,,,,,,,,
,,479,21.761861239999998,36480,,760,,48.0,,76,,,,,,,,,,,,,,
0.003,-7.162700653076172,478,21.755267550000003,36864,0.003909258637577295,764,0.009999999776482582,48.0,4595,77,0.8447193433696777,0.28656339385166674,1.0,0,0.8229657863739273,0.0,0.0,0.13887627089788676,0.6534687036197248,0.16900921782204958,0.0,0.0,0.0933539521239923,0.6245260577410258
,,478,21.755267550000003,36864,,768,,48.0,,77,,,,,,,,,,,,,,
0.003,-7.543183326721191,479,21.743324700000002,37248,0.0035707883071154356,772,0.009999999776482582,48.0,4643,77,,,,,,,,,,,,,,
,,479,21.743324700000002,37248,,776,,48.0,,77,,,,,,,,,,,,,,
0.003,-7.4387640953063965,478,21.743027969999993,37632,0.004279672633856535,780,0.009999999776482582,48.0,4691,78,0.8456391062924707,0.2870611125858032,1.0,0,0.8533664870890506,0.0,0.0,0.15115448920493982,0.6167945382755181,0.1316891131348704,0.0,0.0,0.08975961796557257,0.707293141677834
,,478,21.743027969999993,37632,,784,,48.0,,78,,,,,,,,,,,,,,
0.003,-7.110859394073486,479,21.742087650000002,38016,0.0035914327017962933,788,0.009999999776482582,48.0,4739,79,,,,,,,,,,,,,,
,,479,21.742087650000002,38016,,792,,48.0,,79,,,,,,,,,,,,,,
0.003,-7.551397323608398,478,21.748243489999997,38400,0.003217563033103943,796,0.009999999776482582,48.0,4787,80,0.824170040563018,0.3015357994383469,1.0,0,0.7929441602517835,0.0,0.0,0.18935580190623372,0.6433643323803105,0.21706674388895628,0.0,0.0,0.0647976949561471,0.6905596917370551
,,478,21.748243489999997,38400,,800,,48.0,,80,,,,,,,,,,,,,,
0.003,-7.311948776245117,479,21.740619149999997,38784,0.00567679712548852,804,0.009999999776482582,48.0,4835,80,,,,,,,,,,,,,,
,,479,21.740619149999997,38784,,808,,48.0,,80,,,,,,,,,,,,,,
0.003,-7.2875213623046875,479,21.74046178,39168,0.00606906320899725,812,0.009999999776482582,48.0,4883,81,,,,,,,,,,,,,,
,,479,21.74046178,39168,,816,,48.0,,81,,,,,,,,,,,,,,
0.003,-7.578971862792969,478,21.752433529999998,39552,0.011768084950745106,820,0.009999999776482582,48.0,4931,82,0.8086437379480275,0.2989910000333521,1.0,0,0.851571256009482,0.0,0.0,0.16959767349220514,0.6547501023969399,0.1510079992946565,0.0,0.0,0.08018740339144556,0.6607709111597264
,,478,21.752433529999998,39552,,824,,48.0,,82,,,,,,,,,,,,,,
0.003,-7.595983982086182,479,21.74416217,39936,0.005203939042985439,828,0.009999999776482582,48.0,4979,83,,,,,,,,,,,,,,
,,479,21.74416217,39936,,832,,48.0,,83,,,,,,,,,,,,,,
0.003,-7.496157646179199,478,21.747130169999995,40320,0.009705320000648499,836,0.009999999776482582,48.0,5027,84,0.8357885647446176,0.3133394375524143,0.9989035087719298,0,0.838184335002676,0.007596714068284557,0.0,0.1631587645770482,0.6344420693052153,0.18045968921468442,0.0,0.0010741138560687433,0.10771057637636552,0.6713788860295907
,,478,21.747130169999995,40320,,840,,48.0,,84,,,,,,,,,,,,,,
0.003,-7.587213516235352,479,21.747015020000003,40704,0.00389661593362689,844,0.009999999776482582,48.0,5075,84,,,,,,,,,,,,,,
,,479,21.747015020000003,40704,,848,,48.0,,84,,,,,,,,,,,,,,
0.003,-7.662945747375488,478,21.74516638,41088,0.0037389188073575497,852,0.009999999776482582,48.0,5123,85,0.8420130516454531,0.28582815025893,1.0,0,0.8289965612202962,0.0,0.0,0.14889057333302594,0.6378920149718655,0.17489828883916458,0.0,0.0,0.09551614587613903,0.6358773815986252
,,478,21.74516638,41088,,856,,48.0,,85,,,,,,,,,,,,,,
0.003,-7.381213188171387,479,21.75480213000001,41472,0.002917737700045109,860,0.009999999776482582,48.0,5171,86,,,,,,,,,,,,,,
,,479,21.75480213000001,41472,,864,,48.0,,86,,,,,,,,,,,,,,
0.003,-7.5889692306518555,478,21.766070090000007,41856,0.006693842820823193,868,0.009999999776482582,48.0,5219,87,0.8330238622931452,0.2946319395663074,1.0,0,0.8326272224548599,0.0,0.0,0.16008596192050734,0.6406177857255644,0.1782137766637532,0.0,0.0,0.07751050048741173,0.6438742241678596
,,478,21.766070090000007,41856,,872,,48.0,,87,,,,,,,,,,,,,,
0.003,-7.745868682861328,479,21.76094468,42240,0.007543845102190971,876,0.009999999776482582,48.0,5267,88,,,,,,,,,,,,,,
,,479,21.76094468,42240,,880,,48.0,,88,,,,,,,,,,,,,,
0.003,-8.0750732421875,478,21.74221924,42624,0.005944558419287205,884,0.009999999776482582,48.0,5315,89,0.8261078964343743,0.2597087505953833,1.0,0,0.8612819030232046,0.0,0.0,0.14939802503137675,0.6488678994928119,0.12953406483231422,0.0,0.0,0.0821211355730189,0.6465857106193394
,,478,21.74221924,42624,,888,,48.0,,89,,,,,,,,,,,,,,
0.003,-7.809574127197266,479,21.71411295,43008,0.003877995302900672,892,0.009999999776482582,48.0,5363,89,,,,,,,,,,,,,,
,,479,21.71411295,43008,,896,,48.0,,89,,,,,,,,,,,,,,
0.003,-7.824601650238037,478,21.723215930000002,43392,0.0039847916923463345,900,0.009999999776482582,48.0,5411,90,0.8380009991435022,0.30213372139295636,1.0,0,0.8607770024168935,0.0,0.0,0.15637366870362404,0.6405418643886931,0.13646190961693186,0.0,0.0,0.0834555684656919,0.670393859061822
,,478,21.723215930000002,43392,,904,,48.0,,90,,,,,,,,,,,,,,
0.003,-7.6454010009765625,479,21.717609089999996,43776,0.006920181214809418,908,0.009999999776482582,48.0,5459,91,,,,,,,,,,,,,,
,,479,21.717609089999996,43776,,912,,48.0,,91,,,,,,,,,,,,,,
0.003,-7.1592020988464355,478,21.715597849999998,44160,0.00472794845700264,916,0.009999999776482582,48.0,5507,92,0.8533802759543624,0.291405932123173,1.0,0,0.8836662941704678,0.0,0.0,0.14019658347330652,0.6228878930365028,0.11743321419639956,0.0,0.0,0.12105591389507785,0.6209763596850189
,,478,21.715597849999998,44160,,920,,48.0,,92,,,,,,,,,,,,,,
0.003,-7.892481327056885,479,21.71878127,44544,0.006057326681911945,924,0.009999999776482582,48.0,5555,92,,,,,,,,,,,,,,
,,479,21.71878127,44544,,928,,48.0,,92,,,,,,,,,,,,,,
0.003,-7.64838981628418,478,21.68951462,44928,0.004038786515593529,932,0.009999999776482582,48.0,5603,93,0.8540197480350992,0.3122295182748967,1.0,0,0.8659667709307481,0.0,0.0,0.14484647662958125,0.6101583499388882,0.14560725357300808,0.0,0.0,0.08850761812794852,0.6806464661738502
