time/episodes,train/ent_coef,rollout/ep_len_mean,time/fps,train/learning_rate,time/total_timesteps,train/n_updates,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,eval/ep_pump_price_obj_mean,eval/ep_b1_std,eval/ep_pressure_obj_std,eval/ep_b3_mean,eval/ep_pressure_obj_mean,eval/ep_pump_price_obj_std,eval/ep_b3_std,eval/ep_b2_std,eval/ep_b2_mean,eval/ep_b1_mean
60,0.009999999776482582,48.0,517,0.003,3072,371,0.02550370804965496,5,19.462883093749998,-1.0716736316680908,,,,,,,,,,
64,,48.0,516,,3072,,,5,19.462883093749998,,,,,,,,,,,
68,0.009999999776482582,48.0,503,0.003,3456,419,0.012705947272479534,6,19.679784749999996,-1.1599583625793457,0.5211479579892475,0.18946628768658333,0.03798357034142275,0.40881717177248883,0.9945175438596491,0.16254479144070533,0.13729674245847018,0.07513238811876827,0.9631500181484387,0.7025950559203192
72,,48.0,503,,3456,,,6,19.679784749999996,,,,,,,,,,,
76,0.009999999776482582,48.0,513,0.003,3840,467,0.01539185456931591,7,19.8446324875,-1.2503013610839844,,,,,,,,,,
80,,48.0,512,,3840,,,7,19.8446324875,,,,,,,,,,,
84,0.009999999776482582,48.0,499,0.003,4224,515,0.015952661633491516,8,19.956941738636363,-1.303041696548462,0.46919316106769915,0.1145261526977514,0.0,0.3976763338111752,1.0,0.21379454311135943,0.1350019878684754,0.07144945092812054,0.9557069538188632,0.798172578728511
88,,48.0,499,,4224,,,8,19.956941738636363,,,,,,,,,,,
92,0.009999999776482582,48.0,505,0.003,4608,563,0.018367832526564598,9,20.037209739583332,-1.3877875804901123,,,,,,,,,,
96,,48.0,505,,4608,,,9,20.037209739583332,,,,,,,,,,,
100,0.009999999776482582,48.0,494,0.003,4992,611,0.01570029929280281,10,20.40262946,-1.4800912141799927,0.577033133643155,0.04339538327283654,0.0,0.4902968172777323,1.0,0.1510154156880056,0.11542005910515563,0.15378650631364632,0.8685586791246929,0.8844124640392484
104,,48.0,493,,4992,,,10,20.40262946,,,,,,,,,,,
108,0.009999999776482582,48.0,501,0.003,5376,659,0.019452746957540512,10,20.7783024,-1.5289968252182007,,,,,,,,,,
112,,48.0,501,,5376,,,10,20.7783024,,,,,,,,,,,
116,0.009999999776482582,48.0,493,0.003,5760,707,0.01339651457965374,11,20.850363209999998,-1.6240558624267578,0.5712300061449483,0.0455924787144041,0.0,0.37215735324970467,1.0,0.13658679576597546,0.19974612006329745,0.3153671230147299,0.7336795151831343,0.896953596353113
120,,48.0,493,,5760,,,11,20.850363209999998,,,,,,,,,,,
124,0.009999999776482582,48.0,499,0.003,6144,755,0.0183943472802639,12,20.895996,-1.7225151062011719,,,,,,,,,,
128,,48.0,498,,6144,,,12,20.895996,,,,,,,,,,,
132,0.009999999776482582,48.0,481,0.003,6528,803,0.012744450941681862,13,20.960098889999994,-1.8798015117645264,0.5634714714958493,0.035111466902272376,0.0,0.5291736591488382,1.0,0.1458137858366337,0.14418472162941237,0.20922525489358393,0.8568047204177398,0.8804802884516139
136,,48.0,480,,6528,,,13,20.960098889999994,,,,,,,,,,,
140,0.009999999776482582,48.0,485,0.003,6912,851,0.011993568390607834,14,21.1140938,-1.9215705394744873,,,,,,,,,,
144,,48.0,485,,6912,,,14,21.1140938,,,,,,,,,,,
148,0.009999999776482582,48.0,480,0.003,7296,899,0.013250229880213737,15,21.21408352,-1.9530340433120728,0.5868642106960706,0.04323744857021321,0.0,0.5761362530400209,1.0,0.15443095180468305,0.11794592190290719,0.18318904396600788,0.8414010452362147,0.8968634449361009
152,,48.0,480,,7296,,,15,21.21408352,,,,,,,,,,,
156,0.009999999776482582,48.0,485,0.003,7680,947,0.00965135358273983,15,21.19534622,-2.098973274230957,,,,,,,,,,
160,,48.0,485,,7680,,,15,21.19534622,,,,,,,,,,,
164,0.009999999776482582,48.0,479,0.003,8064,995,0.009839078411459923,16,21.157749929999994,-2.2047178745269775,0.5769603232568351,0.04965765125295128,0.07765364007905967,0.5506005333047391,0.9835526315789473,0.15104326999996018,0.1131588769248817,0.12822483575376079,0.8910279630995934,0.86945805156919
168,,48.0,479,,8064,,,16,21.157749929999994,,,,,,,,,,,
172,0.009999999776482582,48.0,483,0.003,8448,1043,0.013317093253135681,17,21.161316979999995,-2.2938554286956787,,,,,,,,,,
176,,48.0,483,,8448,,,17,21.161316979999995,,,,,,,,,,,
